run_id,experiment_id,scenario_id,mode,seed,network_profile,task_success,result_status,task_completion_time_ms,cloud_invocation_count,uploaded_bytes,downloaded_bytes,mode_switch_count,cache_hit_count,cache_miss_count,simulated_collision_count,unsafe_counterfactual_count,config_hash,result_hash
run-d460cd5c03866ecf,full-s01_normal_static-pcsc-severe-9,S01_NORMAL_STATIC,PCSC,9,SEVERE,True,SUCCESS,1100,0,0,201,0,0,1,0,0,67aaf9ede2fcbcf36697331665eb8611faa7e025236c7362c51135d56db6c0ae,864072924d7b158ce37c868b257c91ca6e6e02c8f77a7fa47059c0e0ab5a93f9
run-9f5ec4c61860b7a7,full-s01_normal_static-eteac-good-0,S01_NORMAL_STATIC,ETEAC,0,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,f88bf93df335034b6294ca1cf2e861c826453bafd9142261cc664753ccc2f3de,d518cf7af2de2941947b4ae8a7dacc41bba9c0e18efcc58fe7792a49b5c934b7
run-a4db86b922eec693,full-s01_normal_static-eteac-good-1,S01_NORMAL_STATIC,ETEAC,1,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,dd8ae94e45686a7e4ad8c52a479401cbc5e9494732d7511659fbc7bc61d703e9,82a5ce7ef9eaf49753a9340b297e4099c4a64a8fdece8112de0784c7e3d4c538
run-4b28c64fd2bf64d3,full-s01_normal_static-eteac-good-2,S01_NORMAL_STATIC,ETEAC,2,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,8bf01742df4148fddcc4650ef9d336f58ad459d1809f622fdff2479cd27f491f,b43900bb7ff6f9b70ca20551f0cd57fde8322cc60d48a10f8af512e9bf6cd2c2
run-1cb10812b6fba9dd,full-s01_normal_static-eteac-good-3,S01_NORMAL_STATIC,ETEAC,3,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,ec2b118a3924f9ab9283870d0d6f2c20625243a8e441dd0d484d4d42ccb53231,f803a3bebc33cdea986253d5661e336bb65c8b95657f9d9d34edc75350999992
run-48e08720a8842d56,full-s01_normal_static-eteac-good-4,S01_NORMAL_STATIC,ETEAC,4,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,2b8f0c634ee8a00b5df06ee4701386fccfc396938e0dd466d004dfed96dcaeb2,eef4553b955da561d1ce4b29b1ca9ce2211365e94944387a229a01e5c6f94ffd
run-99c3f13291d0e485,full-s01_normal_static-eteac-good-5,S01_NORMAL_STATIC,ETEAC,5,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,53bd24d7841051ec3e2b5d735bc567fa053b6feb9e4d2512b58dce3665da1a59,263068f2115b7924593b8b67b32cc4dc3027dc3a658aba4062a17ef36db9ce45
run-114d3529b1a13173,full-s01_normal_static-eteac-good-6,S01_NORMAL_STATIC,ETEAC,6,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,68bf1ccad6929ad36258b007b0c3362d6d1572f381497330b8be5ddafea8aad8,302d01198b30be1450e58e1ba4f57ad59c9715085f6ef18538568157eaac9cff
run-fa65997ef010ccfc,full-s01_normal_static-eteac-good-7,S01_NORMAL_STATIC,ETEAC,7,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,99e7b0c7a3999ccdb1d0acf67dd2f96f81eea576bc1f785b1d6d08a5e483c8d2,caa9b87a3b88e722a4e80de6e441d3babccddc1bbd0f5608ac952c186a8cbaed
run-2323c874563b004e,full-s01_normal_static-eteac-good-8,S01_NORMAL_STATIC,ETEAC,8,GOOD,True,SUCCESS,1100,0,0,0,0,0,1,0,0,342d28e379b1aa1e87d4a41836f12004c49c7a7b7a8e999669d1e9cf598d66c8,9785be8234c7359e66e1e889d2b5595ab1193fab1ba0a96e113bc6249c9b7944
